ID,Date,Primary Type,Description,Arrest,Domestic,Beat,District,Ward,Latitude,Longitude
7292721,01/01/2004 09:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,731.0,7.0,6.0,,
5681541,01/01/2004 09:00:00 AM,THEFT,FINANCIAL ID THEFT:$300 &UNDER,False,False,2031.0,20.0,40.0,,
7123022,01/01/2004 09:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,2522.0,25.0,30.0,,
6798074,01/01/2004 09:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,913.0,9.0,12.0,,
7567303,01/01/2004 09:00:00 PM,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,False,True,1111.0,11.0,37.0,,
6107894,01/01/2004 09:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,631.0,6.0,8.0,,
6378779,01/01/2004 09:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,1223.0,12.0,25.0,,
4918503,01/01/2004 09:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,913.0,9.0,12.0,,
8410676,01/01/2004 09:00:00 AM,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,False,False,2023.0,20.0,48.0,,
8081173,01/01/2004 09:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,1732.0,17.0,30.0,,
4946552,01/01/2004 09:00:00 AM,THEFT,FINANCIAL ID THEFT:$300 &UNDER,False,False,1121.0,11.0,26.0,,
8715631,01/01/2004 09:00:00 AM,MOTOR VEHICLE THEFT,AUTOMOBILE,False,False,1914.0,19.0,46.0,,
6112874,01/01/2004 09:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,True,1414.0,14.0,35.0,,
7975270,01/01/2004 09:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,2534.0,25.0,37.0,,
6264034,01/01/2004 09:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,732.0,7.0,17.0,,
7641506,01/01/2004 09:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,1422.0,14.0,26.0,,
4636156,01/01/2004 09:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,2534.0,25.0,30.0,,
6472786,01/01/2004 09:00:00 AM,THEFT,FINANCIAL ID THEFT:$300 &UNDER,False,False,513.0,5.0,9.0,,
8093069,01/01/2004 09:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,2512.0,25.0,36.0,,
5627643,01/01/2004 09:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,2515.0,25.0,37.0,,
7074820,01/01/2004 09:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,1733.0,17.0,35.0,,
8165651,01/01/2004 09:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,1634.0,16.0,38.0,,
10939139,01/01/2004 09:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,False,False,2024.0,20.0,48.0,,
3114467,01/01/2004 10:00:00 AM,CRIMINAL DAMAGE,TO PROPERTY,False,True,1231.0,12.0,2.0,41.866359025,-87.663996211
6503718,01/01/2004 10:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,1122.0,11.0,28.0,,
7373723,01/01/2004 10:00:00 AM,THEFT,FINANCIAL ID THEFT:$300 &UNDER,False,False,2511.0,25.0,36.0,,
6737867,01/01/2004 10:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,1122.0,11.0,27.0,,
3158915,01/01/2004 10:00:00 PM,PROSTITUTION,SOLICIT ON PUBLIC WAY,True,False,1831.0,18.0,42.0,41.889629205,-87.632543289
5912054,01/01/2004 10:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,432.0,4.0,10.0,,
3114436,01/01/2004 10:32:43 AM,ASSAULT,SIMPLE,False,False,2324.0,19.0,46.0,41.951187878,-87.65034213
6209383,01/01/2004 11:00:00 PM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,True,False,632.0,6.0,6.0,,
4648142,01/01/2004 12:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,1013.0,10.0,22.0,,
4554070,01/01/2004 12:00:00 PM,THEFT,FROM BUILDING,False,False,933.0,9.0,16.0,,
12964365,01/01/2004 12:00:00 AM,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,False,False,423.0,4.0,7.0,,
7883187,01/01/2004 12:00:00 AM,CRIM SEXUAL ASSAULT,PREDATORY,False,False,2512.0,25.0,36.0,,
12358525,01/01/2004 12:00:00 AM,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,False,True,1531.0,15.0,37.0,,
11176453,01/01/2004 12:00:00 PM,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,False,True,1634.0,16.0,45.0,,
7345220,01/01/2004 12:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,False,False,915.0,9.0,16.0,,
4619559,01/01/2004 12:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,2522.0,25.0,31.0,,
5244457,01/01/2004 12:00:00 AM,THEFT,FINANCIAL ID THEFT:$300 &UNDER,False,False,2514.0,25.0,30.0,,
4629699,01/01/2004 12:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,1731.0,17.0,38.0,,
6797702,01/01/2004 12:00:00 AM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,423.0,4.0,10.0,,
8870197,01/01/2004 12:00:00 PM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,2433.0,24.0,48.0,,
